Name,Sq Ft,Price,Location
Baldota Thumbprint,"1,750-2,400 sq.ft. (163-223 sq.m.) Built-up Area","₹ 1.42  - 2.63 Cr₹ 9,549/sq.ft.",Vidyaranyapura
Sri Balaji Signature,"1,374-1,668 sq.ft. (128-155 sq.m.) Super built-up Area",₹ 61.83  - 75.08 L,Hennur Road
Godrej Splendour,"1,097 - 1,550 sq.ft.",₹ 49.61 L - 1.54 Cr,Whitefield Bangalore East
United Sai Green Woods,"1,320 - 1,510 sq.ft.",₹ 79.38 L - 1.07 Cr,Whitefield Bangalore East
DSR Highland Greenz,"1,239 - 1,422 sq.ft.",₹ 63.37 L - 1.03 Cr,Sarjapur  Road Bangalore East
Abhignas Misty Woods,"2,073 - 2,332 sq.ft.",₹ 2 - 4.37 Cr,6th Phase JP Nagar Bangalore South
Godrej Athena,"1,103.52 - 1,650 sq.ft.",₹ 68.65 L - 3.93 Cr,Indira Nagar Bangalore East
Candeur Signature,"1,520 - 1,590 sq.ft.",₹ 47.97 L - 1.24 Cr,Varthur Bangalore East
Sobha Town Park Manhattan Towers,"1,001 - 1,312 sq.ft.",₹ 74.02 L - 1.9 Cr,Hosur Road Bangalore South
Sowparnika Pragati,"1,485 - 1,882 sq.ft.",₹ 52.21 - 86.04 L,Sarjapur  Road Bangalore East
Sowparnika Sunray,943 - 973 sq.ft.,₹ 45 - 59.41 L,Mysore Road Bangalore West
Sowparnika Columns,"1,235 - 1,453 sq.ft.",₹ 37.02 - 88.87 L,Whitefield Bangalore East
Keerthi Krishna Viva,"1,285 - 1,715 sq.ft.",₹ 1.16 - 1.54 Cr,Sarjapur  Road Bangalore East
Anand Alpine,"1,467 - 1,710 sq.ft.",₹ 75.77 L - 1.27 Cr,Kanakapura Road Bangalore South
Assetz Marq 3,"1,006 - 1,375.26 sq.ft.",₹ 1.38 - 2.55 Cr,Whitefield Bangalore East
Brigade Valencia,879.95 - 992.65 sq.ft.,₹ 41.58 L - 1.75 Cr,Electronic City Bangalore South
Brigade Calista,"927.42 - 1,191.35 sq.ft.",₹ 55.75 L - 1.48 Cr,Budigere Cross Bangalore East
Folium By Sumadhura Phase 1,"1,156 - 1,225 sq.ft.",₹ 1.07 - 1.89 Cr,Whitefield Bangalore East
Assetz 63 Degree East,"1,157 - 1,858 sq.ft.",₹ 81 L - 2.3 Cr,Sarjapur  Road Bangalore East
Nava Gokulam,"1,040 - 1,199 sq.ft.",₹ 65.65 - 94.66 L,Horamavu Bangalore North
Prestige Lavender Fields,"1,407 - 1,902 sq.ft.",₹ 1.1 - 2.93 Cr,Varthur Bangalore East
JRC Wild Woods,"2,000 - 2,665.57 sq.ft.",₹ 95.16 L - 1.73 Cr,Sarjapur  Road Bangalore East
Trendsquares Ortus 3,"1,330 - 1,677 sq.ft.",₹ 75.76 L - 1.54 Cr,Hebbal Bangalore North
Ranka Countryside,"1,990 - 2,020 sq.ft.",₹ 82 - 83.24 L,Jigani Bangalore South
S B Temple Tree,"1,575 - 1,770 sq.ft.",₹ 1.03 - 1.51 Cr,Bommanahalli Bangalore South
S B Skanda Lake Front,"1,460 - 1,830 sq.ft.",₹ 97.06 L - 1.44 Cr,Uttarahalli Bangalore South
S B Skanda Lake Front,"1,460 - 1,830 sq.ft.",₹ 97.06 L - 1.44 Cr,Uttarahalli Bangalore South
Godrej Park Retreat,"758 - 1,461.63 sq.ft.",₹ 36.77 L - 1.87 Cr,Sarjapur  Road Bangalore East
Engrace by Modern Spaaces,"1,730 - 2,091 sq.ft.",₹ 62.08 - 99.32 L,Sarjapur  Road Bangalore East
Yuva Blue Meadows,"1,371 - 1,515 sq.ft.",₹ 54.3 - 81.25 L,Varthur Bangalore East
Rohan Antara,"859 - 1,166 sq.ft.",₹ 76.7 L - 1.56 Cr,Gunjur Bangalore East
Folium By Sumadhura Phase 2,"1,505 - 2,355 sq.ft.",₹ 1.8 - 3.01 Cr,Whitefield Bangalore East
SM Art,"1,413 - 1,607 sq.ft.",₹ 79 L - 1.1 Cr,Panathur Bangalore East
Ishtika Vashishta,"1,409 - 1,644 sq.ft.",₹ 55.75 - 89.76 L,Anjanapura Bangalore South
Abhee Pride,"1,360 - 1,410 sq.ft.",₹ 56.54 - 72.59 L,Chandapura Bangalore South
Bhartiya City Nikoo Homes 4,"1,099 - 2,131 sq.ft.",₹ 43 L - 2.73 Cr,Thanisandra Bangalore North
Gomati Iris,"1,435 sq.ft.",₹ 53.99 - 71.74 L,Bommasandra Bangalore South
Master Royal Meenakshi,"1,615 - 1,975 sq.ft.",₹ 1.14 - 1.23 Cr,Bannerghatta Road Bangalore South
Assetz Bloom And Dell,"1,292 - 1,356 sq.ft.",₹ 1.69 - 1.98 Cr,Whitefield Bangalore East
Prestige Elm Park,"1,120 - 1,336 sq.ft.",₹ 2.16 - 3.1 Cr,Whitefield Bangalore East
Brigade Horizon,916.23 sq.ft.,₹ 42 L - 1.66 Cr,Mysore Road Bangalore West
Sattva Misty Charm,"1,254 - 1,476 sq.ft.",₹ 35.82 L - 1.27 Cr,Kanakapura Road Bangalore South
Sattva Exotic,"1,454 - 1,784 sq.ft.",₹ 89.85 L - 1.52 Cr,Yelahanka Bangalore North
SNN Raj High Gardens,677 sq.ft.,₹ 47.89 - 67.14 L,Hosur Road Bangalore South
Keya Around The Life,"1,654 - 1,690 sq.ft.",₹ 1.03 - 1.89 Cr,Whitefield Bangalore East
Promax Dreamville Home,"1,689 - 1,893 sq.ft.",₹ 92.9 L - 1.04 Cr,Hennur Road Bangalore North
Trendsquare Ambience,"1,480 - 1,550 sq.ft.",₹ 89.61 L - 1.16 Cr,Thanisandra Bangalore North
Model Harmony,"1,426 - 1,958 sq.ft.",₹ 44.88 L - 1.07 Cr,Hennur Road Bangalore North
JRC Palladio,"2,095 - 2,126 sq.ft.",₹ 1.53 - 2.67 Cr,Sarjapur  Road Bangalore East
Mahidhara Harmony,"2,005 - 2,033.84 sq.ft.",₹ 1.6 - 2.42 Cr,Sarjapur  Road Bangalore East
Brigade El Dorado,"971 - 1,561.41 sq.ft.",₹ 3.73 - 93.66 L,Bagalur Bangalore North
Sattva Anugraha,"1,186 - 2,395 sq.ft.",₹ 74.16 L - 1.88 Cr,Vijayanagar Bangalore West
Keya Spring,"1,705 - 1,920 sq.ft.",₹ 1.16 - 2.33 Cr,Bannerghatta Road Bangalore South
